AP_MAC;AP_name;AP_address;AP_location
"	04b0-e749-e420";"	UPO12-B01-FL03-AP-17";"	10.14.1.143";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	8866-3903-df60";"	UPO12-B01-FL07-AP-15";"	10.14.1.144";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	8866-3904-21e0";"	UPO12-B01-FL04-AP-11";"	10.14.1.145";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	04b0-e749-eb20";"	UPO12-B01-FL06-AP-21";"	10.14.1.146";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	8866-3903-e200";"	UPO12-B01-FL07-AP-21";"	10.14.1.147";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	04b0-e749-e3e0";"	04b0-e749-e3e0";"	10.14.1.149";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	8866-3903-fbc0";"	UPO12-B01-FL02-AP-02";"	10.14.1.15";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	745a-aae4-2600";"	1.02.006/02-aae4-2600";"	10.14.1.150";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	04b0-e749-f060";"	UPO12-B01-FL06-AP-02";"	10.14.1.151";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	8866-3904-0420";"	UPO12-B01-FL04-AP-23";"	10.14.1.152";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	8866-3904-09e0";"	UPO12-B01-FL07-AP-05";"	10.14.1.153";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	04b0-e749-ed60";"	UPO12-B01-FL03-AP-12";"	10.14.1.154";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	04b0-e749-ef80";"	UPO12-B01-FL04-AP-20";"	10.14.1.155";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	8866-3904-0180";"	UPO12-B01-FL02-AP-09";"	10.14.1.156";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	8866-3904-0ee0";"	UPO12-B01-FL02-AP-19";"	10.14.1.157";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	8866-3904-0220";"	UPO12-B01-FL02-AP-06";"	10.14.1.158";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	04b0-e749-eb00";"	UPO12-B01-FL06-AP-05";"	10.14.1.159";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	04b0-e74a-09e0";"	04b0-e74a-09e0";"	10.14.1.16";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	8866-3904-06c0";"	8866-3904-06c0";"	10.14.1.160";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	0425-c58b-97a0";"	UPO12-B01-FL05-AP-04";"	10.14.1.161";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 5
"	8866-3904-0560";"	UPO12-B01-FL07-AP-27";"	10.14.1.162";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	04b0-e749-ea00";"	UPO12-B01-FL03-AP-09";"	10.14.1.163";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	8866-3904-26c0";"	UPO12-B01-FL06-AP-06";"	10.14.1.164";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	04b0-e749-e480";"	04b0-e749-e480";"	10.14.1.165";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	04b0-e749-e360";"	UPO12-B01-FL04-AP-25";"	10.14.1.167";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	8866-3904-0f40";"	UPO12-B01-FL07-AP-26";"	10.14.1.168";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	04b0-e74a-0ce0";"	04b0-e74a-0ce0";"	10.14.1.169";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
