Total AP information:
fault : fault           [63]
idle  : idle            [9]
nor   : normal          [2303]
ExtraInfo : Extra information
P     : insufficient power supply
---------------------------------------------------------------------------------------------------------------------------------------------------------------
ID    MAC            Name                                Group                   IP              Type            State  STA Uptime           ExtraInfo
121   04b0-e749-ec60 UPO12-B01-FL04-AP-09                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.111     AP6150DN        nor    0   15D:16H:47M:49S  -
122   8866-3904-1d00 UPO12-B01-FL04-AP-15                MSK-UPO-MONITOR         10.14.1.101     AP6150DN        nor    0   15D:16H:47M:50S  -
123   8866-3904-23e0 UPO12-B01-FL02-AP-04                MSK-UPO-01-FLXX         10.14.1.112     AP6150DN        nor    0   15D:16H:47M:47S  -
124   a08c-f8d2-2b80 SPB-9055-1871-CCC-AP.2B80           CCC-Common-Group        100.120.245.20  AP6150DN        nor    0   1D:18H:49M:17S   -
125   04b0-e749-ec80 UPO12-B01-FL03-AP-14                MSK-UPO-01-FLXX         10.14.1.100     AP6150DN        nor    0   15D:16H:47M:47S  -
126   8866-3904-0780 UPO12-B01-FL04-AP-26                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.103     AP6150DN        nor    0   15D:16H:47M:48S  -
127   8866-3904-0940 UPO12-B01-FL07-AP-04                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.113     AP6150DN        nor    0   15D:16H:47M:47S  -
128   04b0-e749-e7a0 UPO12-B01-FL03-AP-01                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.151     AP6150DN        nor    2   15D:16H:47M:45S  -
129   a08c-f8d2-2c40 SPB-9055-AP.1871-CCC-2C40           CCC-Common-Group        100.120.245.22  AP6150DN        nor    0   1D:18H:49M:16S   -
130   04b0-e749-eec0 UPO12-B01-FL03-AP-08                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.92      AP6150DN        nor    0   15D:16H:47M:45S  -
131   8866-3904-2040 UPO12-B01-FL07-AP-28                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.139     AP6150DN        nor    0   15D:16H:47M:44S  -
132   8866-3903-e260 8866-3903-e260                      MSK-UPO-01-FLXX-ONLY_5G 10.14.1.175     AP6150DN        nor    0   15D:16H:47M:44S  -
133   0425-c58b-9760 0425-c58b-9760                      MSK-UPO-01-FLXX-ONLY_5G 10.14.1.143     AP6150DN        nor    2   15D:16H:47M:43S  -
134   04b0-e749-eb80 UPO12-B01-FL06-AP-19                default                 10.14.1.94      AP6150DN        nor    0   9D:4H:12M:11S    -
135   04b0-e749-ea60 UPO12-B01-FL06-AP-14                MSK-UPO-MONITOR         10.14.1.91      AP6150DN        nor    0   15D:16H:47M:44S  -
136   8866-3904-2640 UPO12-B01-FL06-AP-07                MSK-UPO-01-FLXX         10.14.1.93      AP6150DN        nor    3   15D:16H:47M:41S  -
137   04b0-e749-eae0 UPO12-B01-FL06-AP-16                default                 10.14.1.104     AP6150DN        nor    0   9D:4H:13M:39S    -
138   8866-3904-2300 UPO12-B01-FL04-AP-18                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.99      AP6150DN        nor    2   15D:16H:47M:43S  -
139   04b0-e749-e740 UPO12-B01-FL03-AP-05                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.83      AP6150DN        nor    2   15D:16H:47M:42S  -
140   04b0-e749-ed00 UPO12-B01-FL03-AP-10                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.88      AP6150DN        nor    0   15D:16H:47M:42S  -
141   8866-3904-0260 UPO12-B01-FL02-AP-14                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.84      AP6150DN        nor    2   15D:16H:47M:41S  -
142   04b0-e749-ef60 UPO12-B01-FL03-AP-19                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.77      AP6150DN        nor    1   15D:16H:47M:41S  -
143   8866-3903-fdc0 UPO12-B01-FL07-AP-08                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.82      AP6150DN        nor    1   15D:16H:47M:42S  -
144   8866-3903-dd60 UPO12-B01-FL07-AP-10                MSK-UPO-01-FLXX         10.14.1.95      AP6150DN        nor    2   15D:16H:47M:39S  -
