70:b3:17:52:90:32,MSK-V19-FL01-RECEPTION-AP.9032,10.14.30.10
00:62:ec:1f:fc:d4,AP0062.ec1f.fcd4,10.14.17.45
00:62:ec:1f:fc:90,AP0062.ec1f.fc90,10.14.17.48
00:81:c4:fb:39:d0,V19-A-FL23-AP.39d0,10.14.17.151
38:90:a5:f4:ee:fc,V19-A-FL04-AP.EEFC,10.14.16.9
38:90:a5:f9:42:90,V19-A-FL04-AP.4290,10.14.16.35
00:81:c4:fb:92:c0,V19-A-FL25-AP.92C0,10.14.17.172
00:2a:10:34:4a:e0,AP002a.1034.4ae0,10.14.17.60
40:01:7a:ee:f1:74,V19-A-FL04-AP.F174,10.14.16.34
40:01:7a:ee:f1:44,V19-A-FL04-AP.f144,10.14.16.10
84:3d:c6:24:bb:e8,AP843d.c624.bbe8,10.14.17.21
70:b3:17:41:10:30,MSK-UPO-FL06-TEST-HALL-02,10.14.13.47
70:b3:17:41:10:34,MSK-UPO-FL06-TEST-HALL-04,10.14.13.44
70:b3:17:52:84:fc,MSK-UPO-FL06-TEST-HALL-03,10.14.13.46
70:b3:17:41:10:2a,MSK-UPO-FL06-TEST-HALL-01,10.14.13.45
78:72:5d:46:68:7a,V19-A-FL24-AP.687A,10.14.17.141
78:72:5d:43:d7:74,V19-A-FL24-AP.D774,10.14.17.135
78:72:5d:46:68:72,V19-A-FL01-AP03-HL,10.14.17.43
78:72:5d:4e:f2:08,V19-A-FL01-AP02-HL,10.14.17.35
84:3d:c6:24:93:74,V19-UB-TEST-AP01,10.14.26.3
40:ce:24:a4:6a:1a,V19-A-02FL-AP-STATUS,10.14.17.10
78:72:5d:43:d7:70,V19-A-FL24-AP.D770,10.14.17.138
78:72:5d:46:68:6c,V19-A-FL24-AP.686C,10.14.17.133
