UPO12-B01-FL07-AP-04, 8866-3904-0940, 10.14.1.113 
UPO12-B01-FL03-AP-01, 04b0-e749-e7a0, 10.14.1.151 
SPB-9055-AP.1871-CCC-2C40, a08c-f8d2-2c40, 100.120.245.22 
UPO12-B01-FL03-AP-08, 04b0-e749-eec0, 10.14.1.92 
UPO12-B01-FL07-AP-28, 8866-3904-2040, 10.14.1.139 
8866-3903-e260, 8866-3903-e260, 10.14.1.175 
0425-c58b-9760, 0425-c58b-9760, 10.14.1.143 
UPO12-B01-FL06-AP-19, 04b0-e749-eb80, 10.14.1.94 
UPO12-B01-FL06-AP-14, 04b0-e749-ea60, 10.14.1.91 
UPO12-B01-FL06-AP-07, 8866-3904-2640, 10.14.1.93 
UPO12-B01-FL06-AP-16, 04b0-e749-eae0, 10.14.1.104 
UPO12-B01-FL04-AP-18, 8866-3904-2300, 10.14.1.99 
UPO12-B01-FL03-AP-05, 04b0-e749-e740, 10.14.1.83 
UPO12-B01-FL03-AP-10, 04b0-e749-ed00, 10.14.1.88 
UPO12-B01-FL02-AP-14, 8866-3904-0260, 10.14.1.84 
UPO12-B01-FL03-AP-19, 04b0-e749-ef60, 10.14.1.77 
UPO12-B01-FL07-AP-08, 8866-3903-fdc0, 10.14.1.82 
UPO12-B01-FL07-AP-10, 8866-3903-dd60, 10.14.1.95 
04b0-e74a-0ce0, 04b0-e74a-0ce0, 10.14.1.90 
UPO12-B01-FL03-AP-03, 04b0-e749-e760, 10.14.1.87 
UPO12-B01-FL05-AP-18, 04b0-e74a-2160, 10.14.1.160 
8866-3904-0800, 8866-3904-0800, 10.14.1.73 
UPO12-B01-FL02-AP-12, 8866-3904-0240, 10.14.1.97 
UPO12-B01-FL06-AP-03, 04b0-e749-f000, 10.14.1.79 
UPO12-B01-FL05-AP-25, 04b0-e74a-18a0, 10.14.1.63 
UPO12-B01-FL03-AP-11, 04b0-e749-ee40, 10.14.1.75 
8866-3904-0900, 8866-3904-0900, 10.14.1.86 
UPO12-B01-FL07-AP-05, 8866-3904-09e0, 10.14.1.193 
UPO12-B01-FL07-AP-06, 8866-3904-0500, 10.14.1.81 
SPB-9055-1871-CCC-AP.2BE0, a08c-f8d2-2be0, 100.120.245.21 
UPO12-B01-FL06-AP-02, 04b0-e749-f060, 10.14.1.178 
UPO12-B01-FL07-AP-12, 8866-3903-e220, 10.14.1.85 
UPO12-B01-FL04-AP-10, 04b0-e749-edc0, 10.14.1.169 
UPO12-B01-FL02-AP-13, 8866-3904-01e0, 10.14.1.78 
UPO12-B01-FL03-AP-17, 04b0-e749-e420, 10.14.1.67 
UPO12-B01-FL02-AP-31, 8866-3904-02c0, 10.14.1.71 
UPO12-B01-FL02-AP-15, 8866-3904-0200, 10.14.1.76 
UPO12-B01-FL03-AP-16, 04b0-e749-e4e0, 10.14.1.60 
UPO12-B01-FL05-AP-09, 04b0-e74a-18e0, 10.14.1.74 
UPO12-B01-FL02-AP-10, 8866-3904-0320, 10.14.1.186 
UPO12-B01-FL05-AP-08, 0425-c58b-96e0, 10.14.1.69 
UPO12-B01-FL06-AP-10, 8866-3904-03e0, 10.14.1.59 
04b0-e749-e660, 04b0-e749-e660, 10.14.1.182 
04b0-e74a-09e0, 04b0-e74a-09e0, 10.14.1.70 
745a-aae4-2840, 745a-aae4-2840, 10.14.1.32 
UPO12-B01-FL04-AP-12, 8866-3904-06a0, 10.14.1.47 
UPO12-B01-FL06-AP-09, 8866-3904-0460, 10.14.1.53 
UPO12-B01-FL03-AP-22, 8866-3904-2320, 10.14.1.201 
UPO12-B01-FL06-AP-05, 04b0-e749-eb00, 10.14.1.184 
UPO12-B01-FL04-AP-14, 8866-3904-22e0, 10.14.1.197 
8866-3904-06c0, 8866-3904-06c0, 10.14.1.65 
UPO12-B01-FL04-AP-22, 8866-3904-0740, 10.14.1.195 
UPO12-B01-FL02-AP-19, 8866-3904-0ee0, 10.14.1.52 
UPO12-B01-FL03-AP-07, 04b0-e749-ec20, 10.14.1.55 
UPO12-B01-FL02-AP-02, 8866-3903-fbc0, 10.14.1.61 
UPO12-B01-FL02-AP-01, 8866-3903-fc20, 10.14.1.62 
