04:b0:e7:49:ed:c0,UPO12-B01-FL04-AP-10,10.14.1.169
88:66:39:04:01:e0,UPO12-B01-FL02-AP-13,10.14.1.78
04:b0:e7:49:e4:20,UPO12-B01-FL03-AP-17,10.14.1.67
88:66:39:04:02:c0,UPO12-B01-FL02-AP-31,10.14.1.71
88:66:39:04:02:00,UPO12-B01-FL02-AP-15,10.14.1.76
04:b0:e7:49:e4:e0,UPO12-B01-FL03-AP-16,10.14.1.60
04:b0:e7:4a:18:e0,UPO12-B01-FL05-AP-09,10.14.1.74
88:66:39:04:03:20,UPO12-B01-FL02-AP-10,10.14.1.186
04:25:c5:8b:96:e0,UPO12-B01-FL05-AP-08,10.14.1.69
88:66:39:04:03:e0,UPO12-B01-FL06-AP-10,10.14.1.59
04:b0:e7:49:e6:60,04b0-e749-e660,10.14.1.182
04:b0:e7:4a:09:e0,04b0-e74a-09e0,10.14.1.70
74:5a:aa:e4:28:40,745a-aae4-2840,10.14.1.32
88:66:39:04:06:a0,UPO12-B01-FL04-AP-12,10.14.1.47
88:66:39:04:04:60,UPO12-B01-FL06-AP-09,10.14.1.53
88:66:39:04:23:20,UPO12-B01-FL03-AP-22,10.14.1.201
04:b0:e7:49:eb:00,UPO12-B01-FL06-AP-05,10.14.1.184
88:66:39:04:22:e0,UPO12-B01-FL04-AP-14,10.14.1.197
88:66:39:04:06:c0,8866-3904-06c0,10.14.1.65
88:66:39:04:07:40,UPO12-B01-FL04-AP-22,10.14.1.195
88:66:39:04:0e:e0,UPO12-B01-FL02-AP-19,10.14.1.52
04:b0:e7:49:ec:20,UPO12-B01-FL03-AP-07,10.14.1.55
88:66:39:03:fb:c0,UPO12-B01-FL02-AP-02,10.14.1.61
88:66:39:03:fc:20,UPO12-B01-FL02-AP-01,10.14.1.62
88:66:39:04:08:60,UPO12-B01-FL07-AP-31,10.14.1.48
88:66:39:03:e2:40,UPO12-B01-FL07-AP-16,10.14.1.64
88:66:39:04:06:00,8866-3904-0600,10.14.1.51
04:b0:e7:4a:0c:60,UPO12-B01-FL05-AP-10,10.14.1.44
88:66:39:04:04:80,UPO12-B01-FL02-AP-30,10.14.1.41
88:66:39:04:1f:e0,8866-3904-1fe0,10.14.1.45
a0:8c:f8:d2:2b:20,SPB-9055-1871-CCC-AP.2B20,100.120.245.18
04:b0:e7:49:ed:80,UPO12-B01-FL03-AP-18,10.14.1.228
88:66:39:03:f4:c0,UPO12-B01-FL04-AP-13,10.14.1.57
04:b0:e7:49:e3:40,04b0-e749-e340,10.14.1.42
88:66:39:04:07:00,UPO12-B01-FL05-AP-19,10.14.1.49
04:25:c5:8b:97:c0,UPO12-B01-FL05-AP-24,10.14.1.25
04:25:c5:8b:96:c0,UPO12-B01-FL05-AP-16,10.14.1.46
74:5a:aa:e4:2d:a0,745a-aae4-2da0,10.14.1.39
88:66:39:04:01:20,UPO12-B01-FL02-AP-05,10.14.1.33
88:66:39:03:e1:e0,UPO12-B01-FL07-AP-13,10.14.1.35
04:b0:e7:49:ea:a0,UPO12-B01-FL06-AP-04,10.14.1.8
04:b0:e7:49:ef:40,UPO12-B01-FL04-AP-19,10.14.1.38
88:66:39:04:1f:60,UPO12-B01-FL07-AP-30,10.14.1.34
88:66:39:04:1f:c0,UPO12-B01-FL07-AP-20,10.14.1.40
a0:8c:f8:d2:2a:00,SPB-9055-1871-CCC-AP.2A00,100.120.245.19
04:b0:e7:4a:0c:c0,UPO12-B01-FL05-AP-03,10.14.1.43
88:66:39:03:fd:e0,8866-3903-fde0,10.14.1.242
04:b0:e7:49:f0:20,UPO12-B01-FL06-AP-27,10.14.1.29
04:b0:e7:49:ea:00,UPO12-B01-FL03-AP-09,10.14.1.28
04:b0:e7:49:eb:60,UPO12-B01-FL06-AP-17,10.14.1.16
88:66:39:04:05:e0,UPO12-B01-FL02-AP-21,10.14.1.17
04:b0:e7:49:e4:a0,04b0-e749-e4a0,10.14.1.22
88:66:39:03:e1:a0,8866-3903-e1a0,10.14.1.19
88:66:39:04:01:80,UPO12-B01-FL02-AP-09,10.14.1.14
88:66:39:04:26:c0,UPO12-B01-FL06-AP-06,10.14.1.11
04:b0:e7:49:ec:c0,UPO12-B01-FL04-AP-08,10.14.1.37
88:66:39:04:05:60,UPO12-B01-FL07-AP-27,10.14.1.20
04:b0:e7:4a:20:c0,UPO12-B01-FL05-AP-06,10.14.1.36
98:35:ed:80:18:80,UPO12-B01-CH-FL03-AP-03,10.14.1.5
88:66:39:04:22:c0,UPO12-B01-FL04-AP-16,10.14.1.26
98:35:ed:80:18:a0,UPO12-B01-CH-FL03-AP-04,10.14.1.6
98:35:ed:80:12:20,UPO12-B01-CH-FL03-AP-07,10.14.1.248
04:b0:e7:49:ed:60,UPO12-B01-FL03-AP-12,10.14.1.30
88:66:39:04:26:a0,UPO12-B01-FL06-AP-12,10.14.1.220
88:66:39:04:23:60,UPO12-B01-FL03-AP-04,10.14.1.18
88:66:39:03:f8:20,UPO12-B01-FL12-AP-18,10.14.2.7
88:66:39:03:de:20,UPO12-B01-FL07-AP-24,10.14.1.227
88:66:39:04:02:a0,UPO12-B01-FL02-AP-27,10.14.1.224
