70:b3:17:41:18:b0,70:b3:17:8e:0b:00,MSK-PPK-E-FL04-AP36,10.14.59.152
f4:db:e6:c1:b9:dc,f4:db:e6:d6:35:c0,MSK-PPK-E-FL14_2-AP76,10.14.50.112
b0:8b:cf:b9:d2:c4,00:ea:bd:25:bc:80,MSK-PPK-E-FL12-AP87,10.14.51.221
70:b3:17:41:1b:0a,70:b3:17:8e:30:a0,MSK-PPK-E-FL08-AP14,10.14.55.151
f4:db:e6:e3:a3:36,70:b3:17:01:78:e0,MSK-PPK-E-FL14_1-AP50,10.14.50.61
dc:8c:37:bf:ad:7a,78:bc:1a:1d:e4:e0,APDC8C.37BF.AD7A,10.14.64.202
2c:33:11:85:db:b8,f8:0b:cb:bb:2c:20,MSK-PPK-E-FL02-AP76-CH,10.14.60.131
bc:26:c7:18:a9:62,00:ea:bd:23:23:00,MSK-PPK-E-FL12-AP34,10.14.51.225
f4:db:e6:b6:6b:4e,f4:db:e6:d1:b7:40,MSK-PPK-E-FL14_2-AP18,10.14.50.111
bc:26:c7:92:2e:1c,00:ea:bd:ff:81:e0,MSK-PPK-E-FL12-AP42,10.14.51.222
70:b3:17:41:1c:32,70:b3:17:8e:43:20,MSK-PPK-E-FL12-AP28,10.14.51.227
bc:26:c7:f4:2f:38,00:b7:71:0a:69:e0,MSK-PPK-E-FL12-AP32,10.14.51.228
2c:33:11:ed:40:98,f8:0b:cb:b2:1b:e0,MSK-PPK-E-FL16_2-AP41,10.14.49.13
f4:db:e6:e3:b5:64,70:b3:17:18:92:a0,MSK-PPK-E-FL11-AP14,10.14.52.151
2c:33:11:ed:41:40,f8:0b:cb:b2:26:60,MSK-PPK-E-FL16_2-AP39,10.14.49.2
b0:8b:cf:e9:2e:6e,00:ea:bd:26:62:80,MSK-PPK-E-FL12-AP39,10.14.51.223
70:b3:17:0c:88:5e,70:b3:17:04:b5:c0,MSK-PPK-E-FL10-AP20,10.14.53.152
70:b3:17:41:18:b8,70:b3:17:8e:0b:80,MSK-PPK-E-FL08-AP42,10.14.55.218
f4:db:e6:f1:36:f0,f4:db:e6:f3:37:a0,MSK-PPK-E-FL10_1-AP19,10.14.53.151
2c:33:11:85:da:3c,f8:0b:cb:bb:14:60,MSK-PPK-E-FL16_2-AP37,10.14.49.4
70:b3:17:52:8f:aa,70:b3:17:71:20:20,MSK-PPK-E-FL07-AP58,10.14.57.88
f4:db:e6:f4:f0:22,f4:db:e6:f8:29:80,MSK-PPK-E-FL12-AP61,10.14.52.72
b0:8b:cf:79:5b:ba,00:ea:bd:22:67:a0,MSK-PPK-E-FL12-AP64,10.14.52.109
f4:db:e6:f1:4f:d6,70:b3:17:1c:1f:a0,MSK-PPK-E-FL10-AP26,10.14.53.154
70:b3:17:41:1b:d4,70:b3:17:8e:3d:40,MSK-PPK-E-FL12-AP54,10.14.52.98
2c:33:11:80:70:56,f8:0b:cb:a7:82:20,MSK-PPK-E-FL16_2-AP40,10.14.49.5
08:96:ad:9d:4a:ba,f8:0b:cb:a8:5f:c0,MSK-PPK-E-FL16_2-AP46,10.14.49.3
2c:33:11:80:6d:3c,f8:0b:cb:a7:50:80,MSK-PPK-E-FL02-AP64-CH,10.14.61.12
70:b3:17:52:a7:84,70:b3:17:9c:eb:c0,MSK-PPK-E-FL11-AP37,10.14.52.219
70:b3:17:41:15:f4,70:b3:17:6e:dd:a0,MSK-PPK-E-FL12-AP49,10.14.52.107
f4:db:e6:e3:b5:26,70:b3:17:18:8e:c0,MSK-PPK-E-FL13_2-AP22,10.14.51.25
70:b3:17:0c:8a:2c,70:b3:17:04:d2:a0,MSK-PPK-E-FL13_2-AP05,10.14.51.36
70:69:5a:d2:1a:76,00:fc:ba:5a:22:80,MSK-PPK-E-FL13_2-AP07,10.14.51.37
70:b3:17:41:1a:fa,70:b3:17:8e:2f:a0,MSK-PPK-E-FL13_2-AP06,10.14.51.39
f4:db:e6:f1:39:2a,f4:db:e6:f3:5b:40,MSK-PPK-E-FL13_2-AP04,10.14.51.34
70:b3:17:41:1c:2c,70:b3:17:8e:42:c0,MSK-PPK-E-FL13_2-AP18,10.14.51.30
70:b3:17:52:af:a4,70:b3:17:9d:6d:a0,MSK-PPK-E-FL13_2-AP08,10.14.51.35
70:b3:17:52:af:98,70:b3:17:9d:6c:e0,MSK-PPK-E-FL13_2-AP24,10.14.51.24
70:b3:17:52:90:6e,70:b3:17:71:2c:60,MSK-PPK-E-FL13_2-AP14,10.14.51.31
70:b3:17:52:8b:14,70:b3:17:70:d6:c0,MSK-PPK-E-FL12-AP50,10.14.52.102
70:b3:17:52:90:2c,70:b3:17:71:28:40,MSK-PPK-E-FL13_2-AP20,10.14.51.32
70:b3:17:52:8b:06,70:b3:17:70:d5:e0,MSK-PPK-E-FL13_2-AP13,10.14.51.33
70:b3:17:52:90:30,70:b3:17:71:28:80,MSK-PPK-E-FL13_2-AP17,10.14.51.28
70:b3:17:41:1b:06,70:b3:17:8e:30:60,MSK-PPK-E-FL13_2-AP15,10.14.51.29
70:b3:17:52:84:f0,70:b3:17:70:74:80,MSK-PPK-E-FL12-AP48,10.14.51.203
70:b3:17:41:15:48,70:b3:17:6e:d2:e0,ALE-8644-0267-CCC-AP01,100.106.191.36
70:b3:17:41:10:98,70:b3:17:6e:87:e0,MSK-PPK-E-FL14_2-AP23,10.14.50.105
70:b3:17:41:15:ee,70:b3:17:6e:dd:40,MSK-PPK-E-FL12-AP43,10.14.51.220
f4:db:e6:e3:bb:82,70:b3:17:18:f4:80,MSK-PPK-E-FL12-AP24,10.14.51.162
f4:db:e6:e3:b5:1e,70:b3:17:18:8e:40,KAR-9044-0003-CCC-AP01,100.106.22.100
70:b3:17:52:a7:7e,70:b3:17:9c:eb:60,MSK-PPK-E-FL13_3-AP82,10.14.51.99
70:b3:17:41:16:08,70:b3:17:6e:de:e0,MSK-PPK-E-FL12-AP16,10.14.51.156
70:b3:17:52:85:4c,70:b3:17:70:7a:40,MSK-PPK-E-FL12-AP18,10.14.51.164
70:b3:17:52:84:ea,70:b3:17:70:74:20,MSK-PPK-E-FL12-AP10,10.14.51.155
70:b3:17:41:32:fc,70:b3:17:97:e3:60,MSK-PPK-E-FL07-AP37,10.14.56.216
70:b3:17:52:8a:fa,70:b3:17:70:d5:20,MSK-PPK-E-FL12-AP84,10.14.51.154
70:b3:17:41:18:c0,70:b3:17:8e:0c:00,MSK-PPK-E-FL15_3-AP30,10.14.49.238
2c:33:11:85:dc:54,f8:0b:cb:bb:35:e0,MSK-PPK-E-FL16_4-AP57,10.14.48.208
2c:33:11:85:dc:e2,f8:0b:cb:bb:3e:c0,MSK-PPK-E-FL16_4-AP53,10.14.48.203
00:2c:c8:99:5e:3a,f8:0b:cb:ec:2e:c0,MSK-PPK-E-FL16_4-AP58,10.14.48.210
70:b3:17:52:85:3e,70:b3:17:70:79:60,MSK-PPK-E-FL03-AP86,10.14.60.163
70:b3:17:41:15:dc,70:b3:17:6e:dc:20,MSK-PPK-E-FL15_1-AP52,10.14.49.108
70:b3:17:52:a2:6a,70:b3:17:9c:9a:20,MSK-PPK-E-FL15_1-AP48,10.14.49.105
70:7d:b9:56:89:06,00:5d:73:b1:b2:c0,PKL-C-FL11-AP06,10.14.39.112
4c:77:6d:21:9d:76,00:be:75:a1:0c:20,PKL-C-FL03-AP06,10.14.38.82
70:b3:17:52:af:88,70:b3:17:9d:6b:e0,MSK-PPK-E-FL13_1-AP53,10.14.50.253
4c:77:6d:92:d1:40,00:be:75:9a:05:60,PKL-C-FL05-AP02,10.14.38.148
f4:db:e6:f4:f0:32,f4:db:e6:f8:2a:80,MSK-PPK-E-FL14_1-AP11,10.14.50.58
f4:db:e6:e3:a6:84,70:b3:17:01:ad:c0,MSK-PPK-E-FL14_3-AP69_NEW,10.14.50.162
f4:db:e6:e3:b5:58,70:b3:17:18:91:e0,MSK-PPK-E-FL14_1-AP12,10.14.50.59
b0:8b:cf:f9:52:56,00:ea:bd:b6:02:00,MSK-PPK-E-FL03-AP32,10.14.61.57
70:b3:17:52:8e:1c,70:b3:17:71:07:40,MSK-PPK-E-FL09-AP21,10.14.54.153
4c:77:6d:e2:16:52,70:79:b3:60:82:60,PKL-A-FL02-AP06,10.14.32.8
f4:db:e6:e3:cd:5a,70:b3:17:2a:ed:80,KRK-8622-0770-CCC-AP.CD5A,100.102.154.228
70:b3:17:a2:8c:fc,70:b3:17:98:69:60,MSK-PPK-E-FL14_3-AP72_NEW,10.14.50.161
00:fc:ba:2a:07:e0,70:79:b3:d1:69:a0,PKL-A-FL11-AP10,10.14.34.71
38:0e:4d:6f:cd:42,00:5d:73:9d:0e:a0,PKL-C-FL10-AP15,10.14.39.113
b4:de:31:81:fa:7e,4c:77:6d:f7:27:00,APB4DE.3181.FA7E,10.14.39.116
00:5d:73:2b:a3:bc,4c:77:6d:ba:80:60,PKL-C-FL05-AP06,10.14.38.153
f4:db:e6:e3:bb:80,70:b3:17:18:f4:60,MSK-PPK-E-FL14_1-AP13,10.14.50.60
70:df:2f:6d:6d:02,50:0f:80:22:95:80,MSK-UPM-AP03,10.14.3.3
f4:db:e6:c1:b9:de,f4:db:e6:d6:35:e0,BRT-9018-0004-CCC-AP.B9DE,100.96.163.199
38:0e:4d:f6:9c:a8,00:5d:73:b1:36:40,PKL-C-FL12-AP15,10.14.39.145
70:b3:17:52:af:9a,70:b3:17:9d:6d:00,MSK-PPK-E-FL14_1-AP51,10.14.50.57
b4:de:31:74:ea:40,00:be:75:89:a8:40,PKL-B-FL12-AP12,10.14.38.17
70:b3:17:52:90:34,70:b3:17:71:28:c0,MSK-PPK-E-FL14_1-AP49,10.14.50.56
70:b3:17:41:1a:60,70:b3:17:8e:26:00,MSK-PPK-E-FL14_1-AP16_NEW,10.14.50.53
b4:de:31:74:ea:46,00:be:75:89:a8:a0,PKL-B-FL06-AP11,10.14.37.72
38:0e:4d:f6:9d:02,00:5d:73:b1:3b:e0,PKL-C-FL10-AP11,10.14.39.96
70:b3:17:52:90:ce,70:b3:17:71:32:60,STV-RKC-01-FL04-AP01,100.105.71.141
70:b3:17:41:18:b6,70:b3:17:8e:0b:60,MSK-PPK-E-FL14_1-AP14,10.14.50.52
f4:db:e6:f1:41:50,70:b3:17:1b:37:40,MSK-PPK-E-FL14_1-AP41,10.14.50.49
70:7d:b9:56:89:12,00:5d:73:b1:b3:80,PKL-A-FL17-AP08,10.14.35.193
70:70:8b:ef:23:24,6c:b2:ae:04:62:20,MSK-PPK-E-FL01-AP.2324,10.14.62.5
70:b3:17:52:91:28,70:b3:17:71:38:00,VOL-8621-0405-CCC-AP03,100.102.107.116
00:be:75:cf:e2:c6,70:69:5a:ec:8c:60,ORS-8623-0523-CCC-AP03,100.102.188.226
70:70:8b:ef:33:5a,4c:77:6d:2c:ab:a0,PKL-C-FL02-AP09,10.14.38.81
70:b3:17:41:18:ae,70:b3:17:8e:0a:e0,BUG-8610-0418-CCC-AP01,100.97.137.20
38:0e:4d:bf:4b:70,00:5d:73:b1:f6:20,PKL-C-FL13-AP06,10.14.39.155
28:ac:9e:57:aa:d0,70:79:b3:75:07:a0,PKL-A-FL14-AP06,10.14.35.9
38:0e:4d:bf:4a:fc,00:5d:73:b1:ee:e0,PKL-C-FL10-AP04,10.14.39.93
b4:de:31:82:1f:1a,00:be:75:3c:1b:00,PKL-C-FL03-AP14,10.14.38.77
40:01:7a:4b:6c:2a,70:69:5a:ff:c2:80,PKL-B-FL05-AP06,10.14.37.14
70:b3:17:41:1b:04,70:b3:17:8e:30:40,VOL-8621-0405-CCC-AP01,100.102.107.114
70:70:8b:ef:23:2a,6c:b2:ae:04:62:80,PKL-C-FL11-AP05,10.14.39.66
28:ac:9e:52:6b:0a,70:79:b3:7a:3e:60,PKL-A-FL13-AP08,10.14.34.199
70:b3:17:52:ba:64,70:b3:17:9e:19:c0,MSK-PPK-E-FL12-AP73,10.14.52.28
f4:db:e6:ca:22:28,f4:db:e6:d9:9f:c0,MSK-PPK-E-FL09-AP60,10.14.55.88
00:fc:ba:75:45:2a,70:79:b3:ab:91:40,PKL-A-FL05-AP12,10.14.32.202
f4:db:e6:e3:99:36,70:b3:17:00:d8:e0,BRT-9018-0004-CCC-AP.9936,100.96.163.196
b4:de:31:69:84:94,4c:77:6d:df:8d:20,PKL-C-FL04-AP02,10.14.38.151
28:ac:9e:52:88:aa,70:79:b3:cd:2c:60,PKL-A-FL02-AP04,10.14.32.10
70:b3:17:52:8e:18,70:b3:17:71:07:00,MSK-PPK-E-FL14_2-AP30,10.14.50.95
70:b3:17:52:af:a8,70:b3:17:9d:6d:e0,ULA-8601-0189-CCC-AP.AFA8,100.96.2.72
6c:b2:ae:ff:27:02,4c:77:6d:93:7f:40,PKL-C-FL06-AP01,10.14.38.207
70:7d:b9:56:88:24,00:5d:73:b1:a4:a0,PKL-C-FL05-AP09,10.14.38.133
38:0e:4d:f6:9c:38,00:5d:73:b1:2f:40,PKL-C-FL03-AP09,10.14.38.98
f4:db:e6:e3:cd:48,70:b3:17:2a:ec:60,MSK-PPK-E-FL12-AP82,10.14.52.23
f4:db:e6:ca:22:26,f4:db:e6:d9:9f:a0,MSK-PPK-E-FL09-AP63,10.14.55.89
f4:db:e6:e3:cd:54,70:b3:17:2a:ed:20,MSK-PPK-E-FL12-AP75,10.14.52.26
70:b3:17:52:8f:a4,70:b3:17:71:1f:c0,MSK-PPK-E-FL12-AP70,10.14.52.10
70:7d:b9:56:88:a8,00:5d:73:b1:ac:e0,PKL-C-FL12-AP10,10.14.39.148
38:0e:4d:bf:4b:00,00:5d:73:b1:ef:20,PKL-C-FL08-AP13,10.14.39.22
38:0e:4d:bf:4a:f4,00:5d:73:b1:ee:60,PKL-C-FL08-AP03,10.14.39.5
bc:26:c7:18:a9:5e,00:ea:bd:23:22:c0,MSK-PPK-E-FL12-AP68,10.14.52.6
4c:77:6d:e2:16:50,70:79:b3:60:82:40,PKL-A-FL08-AP01,10.14.33.138
70:b3:17:52:84:fa,70:b3:17:70:75:20,NNO-9042-0046-TEST-AP.A720,100.97.148.228
70:b3:17:52:8e:22,70:b3:17:71:07:a0,MSK-PPK-E-FL12-AP83,10.14.52.31
28:ac:9e:52:6b:02,70:79:b3:7a:3d:e0,PKL-A-FL03-AP04,10.14.32.75
28:ac:9e:52:6b:04,70:79:b3:7a:3e:00,PKL-A-FL08-AP03,10.14.33.135
70:b3:17:52:90:d2,70:b3:17:71:32:a0,MSK-PPK-E-FL12-AP72,10.14.52.17
4c:77:6d:61:5a:64,00:be:75:37:7f:80,PKL-A-FL17-AP11,10.14.35.197
70:b3:17:41:18:b2,70:b3:17:8e:0b:20,MSK-PPK-E-FL12-AP01,10.14.52.32
f4:db:e6:f1:39:2c,f4:db:e6:f3:5b:60,CHI-8600-0188-CCC-AP.392C,100.96.63.166
f4:db:e6:e3:cd:58,70:b3:17:2a:ed:60,MSK-PPK-E-FL12-AP05,10.14.52.34
28:ac:9e:52:69:ce,70:79:b3:69:3e:a0,PKL-A-FL06-AP02,10.14.33.3
38:0e:4d:6f:cd:48,00:5d:73:b8:1b:00,PKL-C-FL10-AP10,10.14.39.91
f4:db:e6:f1:50:0e,70:b3:17:1c:23:20,MSK-PPK-E-FL12-AP77,10.14.52.25
28:ac:9e:52:6b:e2,70:79:b3:7a:4b:e0,PKL-A-FL03-AP09,10.14.32.77
70:70:8b:ef:23:2e,6c:b2:ae:04:62:c0,PKL-B-FL10-AP12,10.14.37.203
00:fc:ba:75:45:18,70:79:b3:ab:90:20,PKL-A-FL11-AP05,10.14.34.66
28:ac:9e:52:87:10,70:79:b3:cd:12:c0,PKL-A-FL11-AP03,10.14.34.75
00:fc:ba:2a:07:d6,70:79:b3:d1:69:00,PKL-A-FL02-AP12,10.14.32.11
00:5d:73:2b:bb:0e,4c:77:6d:e0:b1:80,PKL-B-FL12-AP10,10.14.38.25
28:ac:9e:e6:0f:20,70:79:b3:c9:49:40,PKL-A-FL10-AP10,10.14.34.5
28:ac:9e:e5:ee:e0,70:79:b3:6e:21:40,PKL-A-FL09-AP01,10.14.33.203
bc:26:c7:92:2e:1a,00:ea:bd:ff:81:c0,MSK-PPK-E-FL12-AP90,10.14.52.108
70:b3:17:52:a2:6e,70:b3:17:9c:9a:60,ULA-8601-0189-CCC-AP.A26E,100.96.2.70
28:ac:9e:e5:f3:04,70:79:b3:6e:63:80,PKL-A-FL08-AP14,10.14.33.142
70:b3:17:0c:9e:f4,70:b3:17:26:af:40,MSK-PPK-E-FL15_1-AP62,10.14.49.85
70:b3:17:41:18:ba,70:b3:17:8e:0b:a0,MSK-PPK-E-FL15_1-AP93,10.14.49.117
70:b3:17:41:10:8a,70:b3:17:6e:87:00,STV-RKC-02-FL02-AP03,100.105.71.129
f4:db:e6:e3:cd:ba,70:b3:17:2a:f3:80,MSK-PPK-E-FL15_2-AP63,10.14.49.84
70:b3:17:52:8f:a8,70:b3:17:71:20:00,AP70B3.1752.8FA8,10.14.49.96
2c:33:11:80:6d:da,f8:0b:cb:a7:5a:60,MSK-PPK-E-FL02-AP66-CH,10.14.61.15
70:7d:b9:56:88:aa,00:5d:73:b1:ad:00,PKL-B-FL04-AP12,10.14.37.6
4c:77:6d:e2:17:2c,70:79:b3:72:4e:00,PKL-A-FL06-AP04,10.14.33.6
70:b3:17:0c:88:70,70:b3:17:04:b6:e0,AP70B3.170C.8870,10.14.49.91
f4:db:e6:e3:a3:3c,70:b3:17:01:79:40,APF4DB.E6E3.A33C,10.14.49.92
b4:de:31:32:a4:94,4c:77:6d:e7:b6:60,PKL-C-FL04-AP07,10.14.38.130
2c:33:11:ed:41:4c,f8:0b:cb:b2:27:20,MSK-PPK-E-FL12-AP31,10.14.51.229
f4:db:e6:e3:a3:2c,70:b3:17:01:78:40,APF4DB.E6E3.A32C,10.14.49.89
4c:77:6d:e2:17:2a,70:79:b3:72:4d:e0,PKL-A-FL12-AP12,10.14.34.139
