AP_MAC,AP_NAME,AP_ADDRESS,AP_LOCATION
70:b3:17:41:10:34,MSK-UPO-FL06-TEST-HALL-04,10.14.13.44,"г. Москва, 2-ой Южнопортовый проезд, дом 12А"
70:b3:17:52:84:fc,MSK-UPO-FL06-TEST-HALL-03,10.14.13.46,"г. Москва, 2-ой Южнопортовый проезд, дом 12А"
70:b3:17:41:10:2a,MSK-UPO-FL06-TEST-HALL-01,10.14.13.45,"г. Москва, 2-ой Южнопортовый проезд, дом 12А"
78:72:5d:46:68:7a,V19-A-FL24-AP.687A,10.14.17.141,"г.Москва, ул. Вавилова 19, корп. А, этаж 24"
78:72:5d:43:d7:74,V19-A-FL24-AP.D774,10.14.17.135,"г.Москва, ул. Вавилова 19, корп. А, этаж 24"
78:72:5d:46:68:72,V19-A-FL01-AP03-HL,10.14.17.43,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
78:72:5d:4e:f2:08,V19-A-FL01-AP02-HL,10.14.17.35,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
84:3d:c6:24:93:74,V19-UB-TEST-AP01,10.14.26.3,Неизвестен
40:ce:24:a4:6a:1a,V19-A-02FL-AP-STATUS,10.14.17.10,"г.Москва, ул. Вавилова 19, корп. А, этаж 2"
78:72:5d:43:d7:70,V19-A-FL24-AP.D770,10.14.17.138,"г.Москва, ул. Вавилова 19, корп. А, этаж 24"
78:72:5d:46:68:6c,V19-A-FL24-AP.686C,10.14.17.133,"г.Москва, ул. Вавилова 19, корп. А, этаж 24"
2c:33:11:85:df:7e,MSK-PPK-E-FL16_4-AP84,10.14.48.211,"Москва, Кутузовский просп., 32, Башня E, этаж 16"
70:69:5a:d2:1a:76,MSK-PPK-E-FL13_2-AP07,10.14.51.37,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
70:b3:17:0c:8a:2c,MSK-PPK-E-FL13_2-AP05,10.14.51.36,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
2c:33:11:80:70:88,MSK-V19-A-FL24-VIP-SECR,10.24.71.22,"г.Москва, ул. Вавилова 19, корп. А, этаж 24"
